facility_id,nurse_comm_stars,hf_excess_ratio
150057,4,0.9799
150058,3,0.9831
150059,4,0.9336
150061,4,0.9962
150065,3,0.9139
150069,4,1.0175
150072,4,0.9023
150074,5,1.0814
150075,5,0.9865
150076,4,0.9454
150082,3,1.0949
150084,2,1.0425
150086,4,1.0142
150088,3,1.0832
150089,2,1.1092
150090,2,1.0383
150091,3,0.9304
150097,4,1.0276
150100,3,0.9447
150101,4,1.0002
150104,3,0.9788
150109,4,0.9941
150112,3,0.981
150113,4,0.862
150115,5,0.9451
150125,4,1.1138
150126,3,1.0096
150128,3,0.9664
150133,3,0.9674
150146,2,1.012
150150,3,0.9594
150153,5,0.9073
150157,2,0.9592
150158,2,0.9542
150161,2,1.044
150162,3,0.9321
150165,4,1.0966
150169,3,1.0578
150173,3,0.9769
150183,4,0.9778
160001,4,1.034
160013,3,0.9701
160016,4,0.9553
160028,3,1.0304
160029,2,1.0729
160030,4,1.014
160033,2,1.1371
160045,4,0.9254
160047,4,0.9787
160057,2,0.9726
160058,2,0.9548
160064,3,0.9841
160067,2,0.8853
160069,4,1.082
160079,4,0.9132
160080,4,0.9684
160082,3,0.9495
160083,2,0.8793
160089,2,0.9612
160104,3,0.9685
160110,3,0.9796
160112,4,1.0097
160117,4,0.987
160124,5,1.0601
160146,3,0.888
160147,4,0.9769
160153,2,1.0015
170006,4,0.9967
170009,4,1.0567
170012,3,0.9078
170013,4,0.9327
170014,4,1.084
170016,2,0.9014
170020,3,0.9287
170023,2,0.9975
170027,5,0.9924
170040,5,0.9091
170049,3,0.8681
170068,2,0.959
170074,5,0.9651
170086,3,1.0153
170103,4,0.9757
170104,4,0.9428
170105,4,0.9881
170120,5,0.945
170122,2,0.933
170123,2,0.9127
170137,3,0.999
170142,3,0.8819
170146,2,0.9947
170176,3,0.9951
170182,3,1.0388
170185,4,0.9925
170186,5,0.9035
170191,3,1.0019
170197,2,0.9246
170200,3,0.9713
170204,5,0.9742
170208,3,1.0016
180001,4,1.1132
180002,4,0.9714
180004,5,1.045
180005,3,1.0319
180009,4,0.9628
180010,2,1.1035
180011,4,1.0887
180012,3,0.9552
180013,3,0.9388
180016,2,1.0011
180017,4,1.0319
180018,5,1.0217
180019,3,0.9624
180024,5,0.9792
180025,5,1.0228
180027,5,1.0951
180029,4,0.9916
180035,4,0.9654
180038,3,0.9262
180040,2,1.1152
180043,5,1.0654
180044,3,1.024
180045,4,0.9776
180048,4,0.9305
180049,5,0.9347
180050,3,1.0694
180051,3,0.987
180056,3,1.075
180064,5,1.0116
180066,5,1.0298
180067,4,0.9051
180069,3,1.0431
180070,4,1.0484
180078,3,1.0419
180079,5,0.9289
180080,4,0.9772
180087,4,0.979
180088,3,1.0261
180092,4,0.9473
180093,3,0.9723
180101,4,1.0326
180102,3,0.974
180103,4,0.9587
180104,4,0.9329
180105,3,1.1101
180116,4,1.0303
180124,3,1.0715
180127,2,1.0684
180128,5,0.9988
180130,3,0.9219
180132,3,1.0622
180138,5,0.9471
180141,2,1.0607
180143,2,1.0358
190002,3,0.9933
190004,4,0.9514
190005,3,1.003
190006,5,1.0738
190007,4,0.963
190008,4,0.9747
190011,4,0.9606
190013,4,0.9567
190014,4,1.0057
190015,3,1.1447
190017,4,1.0158
190019,3,1.0205
190020,4,1.0274
190026,3,0.9971
190027,3,0.9661
190034,4,0.9241
190036,3,0.9953
190039,3,1.041
190040,2,1.1517
190041,2,1.0092
190044,3,0.957
190045,5,0.9456
190046,3,1.0183
190050,4,1.0173
190053,5,1.0831
190054,4,0.9607
190060,3,1.0191
190064,3,0.9584
190065,3,0.9712
190086,2,0.965
190098,3,0.9418
190102,4,1.0417
190111,3,1.0191
190114,5,1.0771
190125,4,1.007
190144,3,0.9436
190160,4,1.1494
190164,4,1.0416
190176,4,0.9982
190183,5,0.9777
190184,5,1.0285
190202,3,1.0133
190274,3,0.9726
190308,4,1.0217
190312,5,1.0306
190318,3,1.025
200001,5,0.9707
200008,5,1.0132
200009,4,0.9452
200018,4,0.9827
200020,5,0.9717
200021,4,0.9445
200024,3,0.9455
200031,4,1.0907
200033,2,0.8002
200034,3,0.9161
200039,4,0.9299
200050,2,0.9413
200063,5,1.0339
210001,3,0.969
210002,3,0.9253
210003,1,1.1122
210004,2,0.9739
210005,3,0.9466
210008,3,1.1038
210009,4,0.8567
210011,2,0.9647
210012,2,1.0459
210015,2,0.9507
210016,2,0.9963
210017,4,0.9795
210018,2,0.9439
210019,3,0.891
210022,3,1.0287
210023,3,0.9571
210024,2,0.919
210027,3,0.9548
210028,3,1.0307
210029,3,0.9034
210032,3,1.0007
210033,3,1.0133
210034,2,0.9434
210035,2,1.0309
210037,2,0.8941
210038,2,0.9799
210039,4,0.9763
210040,2,1.0648
210043,3,0.8955
210044,3,0.9504
210048,3,1.084
210049,2,0.9616
210051,2,0.924
210056,2,1.0167
210057,3,0.9703
210060,2,0.9721
210061,4,0.99
210062,1,0.9056
210063,4,0.891
210065,2,1.0687
220001,2,1.0464
220002,4,0.9763
220008,3,1.1237
220010,3,1.0254
220011,2,0.9453
220012,3,1.1149
220015,4,1.1401
220016,4,1.0293
220019,3,1.1008
220020,4,1.0479
220024,4,1.0638
220029,4,1.0468
220030,4,1.0487
220031,3,0.9834
220033,3,1.045
220035,4,0.975
220036,3,1.1383
220046,3,1.0312
220049,3,1.0726
220060,3,0.9579
220063,3,1.0677
220065,3,1.0644
220066,3,1.025
220070,4,1.0521
220071,4,0.9154
220073,2,1.0951
220074,3,0.9945
220077,2,1.0538
220080,2,1.0662
220083,4,1.0635
220084,4,0.9665
220086,4,0.9982
220090,4,1.2135
220095,4,1.0439
220100,4,1.0474
220101,4,0.9293
220105,4,1.23
220108,3,0.9699
220110,4,0.8759
220111,2,1.1191
220116,5,1.0288
220119,3,0.9163
220135,3,1.0454
220163,3,0.9661
220171,4,1.0197
220175,1,1.1071
220176,1,1.0323
230002,4,1.1512
230003,4,1.018
230005,4,0.9261
230015,4,0.9642
230017,4,0.9675
230019,2,1.0145
230020,2,1.1238
230021,3,1.0355
230022,4,1.0208
230024,1,1.0286
230029,2,0.9892
230030,4,1.0508
230031,2,1.0522
230035,4,0.9878
230036,5,0.9547
230037,5,1.0186
230038,4,0.911
230041,2,1.0889
230046,5,0.9408
230047,3,0.9342
230053,3,1.094
230054,4,0.8746
230055,3,1.0219
230058,4,0.9398
230059,4,0.968
230066,4,0.8356
230069,4,0.9256
230070,4,1.0717
230072,5,0.9772
230075,3,0.974
230077,3,1.0086
230080,3,1.0645
230081,4,0.9276
230089,3,1.0939
230092,2,1.016
230093,4,0.9759
230095,4,0.9925
230097,4,0.9587
230099,4,1.1453
230100,3,0.9897
230104,1,0.9446
230105,3,0.9763
230108,5,0.9883
230110,5,1.002
230117,2,0.8642
230121,3,0.9194
230130,3,1.0726
230132,3,1.0761
230133,4,1.1018
230141,3,1.0148
230142,2,1.0023
230146,3,1.0925
230151,2,0.9731
230156,4,0.9822
230165,2,1.1175
230167,3,1.0785
230176,4,0.9914
230180,5,1.0476
230193,2,0.9791
230195,2,1.0498
230197,3,0.9183
230207,2,1.0212
230208,5,0.9863
230216,3,0.9681
230217,5,0.9382
230222,5,0.9802
230227,2,1.0477
230230,3,0.9606
230236,4,0.9191
230239,4,0.9376
230244,2,1.0334
230254,3,1.027
230259,5,0.9646
230269,3,1.1127
230270,2,1.0643
230273,1,1.0404
230277,2,0.9421
230302,3,1.1495
230303,4,0.9426
240001,2,1.1457
240002,4,0.9805
240004,2,0.9892
240006,4,0.9572
240010,5,0.8554
240014,5,0.9467
240018,4,1.0007
240020,4,0.9745
240022,5,0.9465
240030,4,0.9379
240036,4,0.8945
240038,3,1.09
240040,4,0.9874
240043,4,0.9511
240044,4,0.9302
240047,4,0.994
240050,4,1.033
240052,5,0.9727
240053,4,1.0538
240056,4,1.0241
240057,3,0.9552
240064,4,0.9441
240066,5,0.9672
240069,4,0.9916
240071,4,0.9884
240075,4,0.9991
240076,4,0.9547
240078,3,0.8972
240080,4,0.9369
240084,4,1.0123
240088,4,1.0541
240093,4,0.869
240100,3,0.9377
240101,4,1.0001
240104,3,0.9872
240106,3,0.8751
240115,3,0.9785
240141,4,1.0159
240166,5,0.9429
240187,5,1.0111
240207,2,0.9491
240210,3,1.0322
240213,3,0.9956
240214,4,0.9759
250001,4,1.043
250004,3,0.9807
250006,5,1.0088
250007,2,1.0822
250009,4,0.9179
250019,3,1.1072
250025,5,1.0786
250031,2,1.0038
250034,5,1.1472
250036,4,1.0328
250038,4,1.0692
250040,3,1.1187
250048,3,1.0484
250050,3,1.0773
250057,5,0.9536
250058,3,1.0843
250069,3,0.9998
250078,4,1.0129
250082,2,1.0137
250084,3,1.0151
250093,3,0.9738
250094,4,0.9744
250097,4,1.04
250100,5,0.9882
250102,4,0.9486
250104,2,0.9794
250123,3,1.0689
250138,1,1.0517
250141,3,1.0634
250162,3,1.0695
250167,3,0.9972
250168,4,1.0451
260001,2,1.0183
260005,3,1.0127
260006,3,1.0336
260009,4,1.0338
260011,3,1.1245
260017,3,1.109
260020,4,0.9849
260022,2,1.0141
260023,4,1.1094
260024,5,1.0174
260025,4,1.1423
260027,2,0.9559
260032,4,1.0775
260040,2,0.9736
260048,2,0.9816
260052,3,0.966
260057,3,0.8964
260059,4,0.973
260062,4,0.9182
260065,3,0.951
260068,3,0.9154
260074,4,1.0011
260077,2,0.9929
260078,3,0.9643
260081,4,1.0537
260085,2,0.9692
260091,3,1.0793
260094,4,0.9102
260095,2,0.9521
260096,3,0.9043
260097,4,1.0839
260104,2,0.9676
260105,2,1.1032
260108,4,0.9328
260110,3,1.108
260113,2,1.0243
260119,2,1.0362
260137,4,0.9755
260138,4,0.9451
260141,3,1.0452
260142,3,1.042
260162,5,1.0819
260163,5,0.9819
260175,4,0.9799
260176,4,1.0254
260177,3,1.0427
260179,4,0.9841
260180,3,0.9894
260183,3,0.8327
260186,4,0.9825
260190,3,1.0032
260191,4,1.079
260193,2,1.0389
260195,3,0.9465
260200,3,0.9743
260214,3,1.0061
260216,4,0.8482
260219,4,0.948
270003,4,0.9361
270004,3,0.8916
270012,2,0.971
270014,5,0.9766
270017,4,0.9972
270023,3,1.0414
270049,4,0.8231
270051,3,0.9377
270057,4,0.9854
270086,4,0.9813
280003,4,0.8789
280009,4,1.0747
280013,3,1.0515
280020,2,1.0059
280023,4,0.9965
280032,4,0.9742
280040,4,0.9641
280060,3,0.9364
280061,2,0.9674
280065,2,1.0167
280077,4,1.0186
280081,3,1.0086
280105,5,0.9723
280111,4,0.9042
280125,4,0.9017
280128,5,0.9941
280130,3,0.9609
280132,3,1.06
280134,4,0.8856
280139,3,1.032
290001,3,0.945
290003,1,1.1067
290005,2,1.1121
290007,2,1.1129
290008,3,0.9755
290009,2,0.9944
290019,3,0.826
290021,2,1.062
290032,3,1.0292
290039,2,0.9424
290041,3,1.0478
290045,2,1.0474
290046,2,1.069
290047,2,0.9642
290049,4,0.9545
290053,4,1.0202
290054,1,0.96
290057,2,1.1084
300001,4,1.079
300003,4,0.8547
300005,3,0.9572
300011,3,0.9572
300012,4,0.9366
300014,5,1.0047
300017,4,1.0381
300018,4,0.9692
300019,3,0.9275
300020,4,0.952
300023,5,0.948
300029,3,1.0866
300034,4,1.0015
310001,3,0.9179
